Product Code,Description,Selling Group
BAB6RP,BEEF AB6  PISTOLA RUMP & LOIN,Pistola R&L AB3-6
,,
BAB3FS,BEEF AB3 FORE QUARTER SHIN OFF,FQ SO AB3-6
BAB4FS,BEEF AB4 FORE QUARTER SHIN OFF,FQ SO AB3-6
BAB5FS,BEEF AB5 FORE QUARTER SHIN OFF,FQ SO AB3-6
BAB6FS,BEEF AB6 FORE QUARTER SHIN OFF,FQ SO AB3-6
,,
BAB3FSQ,BEEF AB3 FORE QUARTER SQUARE CUT,FQ SQC AB3-6
BAB4FSQ,BEEF AB4 FORE QUARTER SQUARE CUT,FQ SQC AB3-6
BAB5FSQ,BEEF AB5 FORE QUARTER SQUARE CUT,FQ SQC AB3-6
BAB6FSQ,BEEF AB6 FORE QUARTER SQUARE CUT,FQ SQC AB3-6
,,
BB0,BEEF B0,Sides B/C0-1
BB1,BEEF B1,Sides B/C0-1
BC0,BEEF C0,Sides B/C0-1
BC1,BEEF C1,Sides B/C0-1
,,
BB0F,BEEF B0 FORE QUARTER,FQ B/C0-1
BB1F,BEEF B1 FORE QUARTER,FQ B/C0-1
BC0F,BEEF C0 FORE QUARTER,FQ B/C0-1
BC1F,BEEF C1 FORE QUARTER,FQ B/C0-1
,,
BB0H,BEEF B0 HIND QUARTER,HQ B/C0-1
BB1H,BEEF B1 HIND QUARTER,HQ B/C0-1
BC0H,BEEF C0 HIND QUARTER,HQ B/C0-1
BC1H,BEEF C1 HIND QUARTER,HQ B/C0-1
,,
BB0R,BEEF B0 RUMP & LION,R&L B/C0-1
BB1R,BEEF B1 RUMP & LOIN,R&L B/C0-1
BC1R,BEEF C1 RUMP & LOIN,R&L B/C0-1
,,
BB0T,BEEF B0 BUTTOCK,Buttocks B/C0-1
BB1T,BEEF B1 BUTTOCK,Buttocks B/C0-1
BC1T,BEEF C1 BUTTOCK,Buttocks B/C0-1
,,
BB1HP,BEEF B1 PISTOLA HQ,Pistola HQ B/C1
BC1HP,BEEF C1 PISTOLA HQ,Pistola HQ B/C1
,,
BB0RP,BEEF B0  PISTOLA RUMP & LOIN,Pistola R&L B/C0-1
BB1RP,BEEF B1  PISTOLA RUMP & LOIN,Pistola R&L B/C0-1
BC0RP,BEEF C0  PISTOLA RUMP & LOIN,Pistola R&L B/C0-1
BC1RP,BEEF C1  PISTOLA RUMP & LOIN,Pistola R&L B/C0-1
,,
BB1FS,BEEF B1 FORE QUARTER SHIN OFF,FQ SO B/C1
BC1FS,BEEF C1 FORE QUARTER SHIN OFF,FQ SO B/C1
,,
BB1FSQ,BEEF B1 FORE QUARTER SQUARE CUT,FQ SQC B/C1
BC1FSQ,BEEF C1 FORE QUARTER SQUARE CUT,FQ SQC B/C1
,,
BB2,BEEF B2,Sides B/C2
BC2,BEEF C2,Sides B/C2
,,
BB2F,BEEF B2 FORE QUARTER,FQ B/C2
BC2F,BEEF C2 FORE QUARTER,FQ B/C2
,,
BB2H,BEEF B2 HIND QUARTER,HQ B/C2
BC2H,BEEF C2 HIND QUARTER,HQ B/C2
,,
BB2R,BEEF B2 RUMP & LOIN,R&L B/C2
BC2R,BEEF C2 RUMP & LOIN,R&L B/C2
,,
BB2T,BEEF B2 BUTTOCK,Buttocks B/C2
BC2T,BEEF C2 BUTTOCK,Buttocks B/C2
,,
BB2HP,BEEF  B2/B3 PISTOLA HQ,Pistola HQ B/C2
BC2HP,BEEF C2 PISTOLA HQ,Pistola HQ B/C2
,,
BB2RP,BEEF B2/B3 PISTOLA RUMP&LOIN,Pistola R&L B/C2
BC2RP,BEEF C2 PISTOLA RUMP & LOIN,Pistola R&L B/C2
,,
BB2FS,BEEF B2 FORE QUARTER SHIN OFF,FQ SO B/C2
BC2FS,BEEF C2 FORE QUARTER SHIN OFF,FQ SO B/C2
,,
BB2FSQ,BEEF B2 FORE QUARTER SQUARE CUT,FQ SQC B/C2
BC2FSQ,BEEF C2 FORE QUARTER SQUARE CUT,FQ SQC B/C2
,,
BB3,BEEF B3,Sides B/C3-6
BB4,BEEF B4,Sides B/C3-6
BB5,BEEF B5,Sides B/C3-6
BB6,BEEF B6,Sides B/C3-6
BC3,BEEF C3,Sides B/C3-6
BC4,BEEF C4,Sides B/C3-6
